a,b,m1a_probe_cv_auc,m1b_energy,m1b_energy_scalefree,m2_confusion_rate,m2_separability,same_base,adjacent_version,same_family,same_org,same_arch,same_tokenizer,near_relative,structurally_related,relation_inferred
CohereForAI/aya-23-35B,CohereForAI/aya-23-8B,0.9612244897959183,30.034072761228742,1.0350643524361713,0.10294117647058823,0.8970588235294118,False,True,True,True,True,True,True,True,False
tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-7B-Instruct,0.9680533751962324,21.096548846430284,0.6861048645516719,0.1323529411764706,0.8676470588235294,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,0.9808477237048667,32.40697663593457,1.016692781078241,0.04411764705882353,0.9558823529411765,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9828885400313971,37.82261065144754,1.2044711619295214,0.04411764705882353,0.9558823529411765,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3-medium-4k-instruct,0.9846153846153847,42.10253274912084,1.730316862768458,0.051470588235294115,0.9485294117647058,False,True,True,True,True,True,True,True,False
google/gemma-2-27b-it,google/gemma-2-9b-it,0.9857927786499217,32.819047421185786,1.2239189485551338,0.07352941176470588,0.9264705882352942,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-mini-128k-instruct,microsoft/Phi-3-mini-4k-instruct,0.9868131868131869,28.1906103106104,0.9099945819173344,0.07352941176470588,0.9264705882352942,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-4k-instruct,microsoft/Phi-3.5-MoE-instruct,0.9923076923076923,46.00828009465583,1.8174778325313907,0.014705882352941176,0.9852941176470589,False,True,True,True,False,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,nvidia/Llama3-ChatQA-1.5-8B,0.9934065934065934,29.061402791084113,0.8733854513019953,0.058823529411764705,0.9411764705882353,False,False,False,False,False,False,False,False,False
abacusai/Smaug-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,0.9934065934065934,31.493969061798666,0.9530006017041471,0.0661764705882353,0.9338235294117647,True,False,True,False,True,True,True,True,False
Qwen/Qwen2-72B-Instruct,Qwen/Qwen2-7B-Instruct,0.9945054945054945,39.00512759118113,1.2429715017687377,0.0,1.0,False,True,True,True,True,True,True,True,False
meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,0.9945054945054945,32.03472782153837,1.00544447624188,0.04411764705882353,0.9558823529411765,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,0.9945839874411302,46.081599702862434,1.5689984493088718,0.03676470588235294,0.9632352941176471,False,True,True,True,True,True,True,True,False
ibm-granite/granite-3.0-8b-instruct,mistralai/Mistral-7B-Instruct-v0.1,0.9956043956043956,44.300633103882376,1.4165124533986257,0.0,1.0,False,False,False,False,False,False,False,False,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,0.9956043956043956,45.612894314623674,1.4973962684631024,0.022058823529411766,0.9779411764705882,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Meta-Llama-3.1-8B-Instruct,0.9956043956043956,57.06976968903872,1.8544170865292011,0.0,1.0,False,True,True,True,True,True,True,True,False
nvidia/Llama3-ChatQA-1.5-8B,openchat/openchat-3.6-8b-20240522,0.9956828885400313,48.490505072755354,1.5103033867669182,0.014705882352941176,0.9852941176470589,True,False,True,False,True,True,True,True,False
Qwen/Qwen2-1.5B-Instruct,tiiuae/Falcon3-10B-Instruct,0.9957613814756673,46.568295472237146,1.488712442269228,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-7B-Instruct,gpt-3.5-turbo,0.9967032967032967,49.05562978669465,1.5722853769146898,0.007352941176470588,0.9926470588235294,False,False,False,False,False,False,False,False,False
gpt-4-turbo-2024-04-09,gpt-4o-2024-05-13,0.9967032967032967,33.69539870415596,1.2567101481413887,0.058823529411764705,0.9411764705882353,False,True,True,True,True,True,True,True,False
openchat/openchat-3.6-8b-20240522,openchat/openchat_3.5,0.9967032967032967,27.354763307463788,0.9103092419687225,0.029411764705882353,0.9705882352941176,False,False,False,True,False,False,False,False,False
Deci/DeciLM-7B-instruct,nvidia/Llama3-ChatQA-1.5-8B,0.9978021978021978,40.80563368848465,1.2980382447253893,0.014705882352941176,0.9852941176470589,False,False,False,False,False,False,False,False,False
