a,b,auc,confusion_rate,centroid_dist,same_base,adjacent_version,near_relative,structurally_related,same_family,same_org,same_arch,same_tokenizer,relation_inferred
tiiuae/Falcon3-10B-Instruct,tiiuae/Falcon3-7B-Instruct,0.9387975778546713,0.14705882352941177,48.75973630137865,False,True,True,True,True,True,True,True,False
CohereForAI/aya-23-35B,CohereForAI/aya-23-8B,0.9552335640138409,0.125,51.4702079874092,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Llama-3.2-3B-Instruct,0.9688581314878892,0.0661764705882353,51.72287923863795,False,True,True,True,True,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,nvidia/Llama3-ChatQA-1.5-8B,0.9705882352941176,0.058823529411764705,50.1987411120969,False,False,False,False,False,False,False,False,False
google/gemma-2-27b-it,google/gemma-2-9b-it,0.9742647058823529,0.11029411764705882,49.754665122269664,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9842128027681661,0.058823529411764705,52.001942197579886,False,True,True,True,True,True,True,True,False
meta-llama/Meta-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,0.9850778546712803,0.0661764705882353,55.234176989697005,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-medium-128k-instruct,microsoft/Phi-3-medium-4k-instruct,0.9852941176470589,0.044117647058823525,47.379296426628045,False,True,True,True,True,True,True,True,False
microsoft/Phi-3-mini-128k-instruct,microsoft/Phi-3-mini-4k-instruct,0.9874567474048442,0.03676470588235294,41.59250350079295,False,True,True,True,True,True,True,True,False
gpt-4-turbo-2024-04-09,gpt-4o-2024-05-13,0.9876730103806228,0.08088235294117647,45.73220718536538,False,True,True,True,True,True,True,True,False
abacusai/Smaug-Llama-3-70B-Instruct,meta-llama/Meta-Llama-3-70B-Instruct,0.9887543252595156,0.04411764705882353,54.99953608905246,True,False,True,True,True,False,True,True,False
HuggingFaceH4/zephyr-7b-beta,openchat/openchat-3.6-8b-20240522,0.9894031141868512,0.04411764705882353,52.73839183207297,False,False,False,False,False,False,False,False,False
mistralai/Mistral-7B-Instruct-v0.3,mistralai/Mixtral-8x7B-Instruct-v0.1,0.990916955017301,0.029411764705882353,45.251429109666994,False,False,False,False,False,True,False,True,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,openchat/openchat-3.6-8b-20240522,0.9911332179930796,0.058823529411764705,58.719632260700344,False,False,False,False,False,False,False,False,False
openchat/openchat-3.6-8b-20240522,openchat/openchat_3.5,0.9913494809688581,0.03676470588235294,46.50449724809672,False,False,False,False,False,True,False,False,False
Deci/DeciLM-7B-instruct,gpt-3.5-turbo,0.9924307958477508,0.051470588235294115,52.35951414139134,False,False,False,False,False,False,False,False,False
Deci/DeciLM-7B-instruct,openchat/openchat-3.6-8b-20240522,0.9924307958477508,0.029411764705882353,54.656943394375084,False,False,False,False,False,False,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,mistralai/Mistral-7B-Instruct-v0.2,0.9930795847750865,0.014705882352941176,52.669335449293726,False,False,False,False,False,False,False,True,False
microsoft/Phi-3-medium-4k-instruct,microsoft/Phi-3.5-MoE-instruct,0.9930795847750865,0.051470588235294115,53.393170113490505,False,True,True,True,True,True,False,True,False
nvidia/Llama3-ChatQA-1.5-8B,openchat/openchat-3.6-8b-20240522,0.9930795847750865,0.029411764705882353,63.746582011808314,True,False,True,True,True,False,True,True,False
Qwen/Qwen2-72B-Instruct,Qwen/Qwen2-7B-Instruct,0.9943771626297578,0.03676470588235294,52.57672648572115,False,True,True,True,True,True,True,True,False
meta-llama/Llama-3.2-3B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,0.9943771626297578,0.03676470588235294,55.96305469565058,False,True,True,True,True,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,Qwen/Qwen2-72B-Instruct,0.9948096885813149,0.029411764705882353,58.566957521514134,False,False,False,False,False,False,False,False,False
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mistral-7B-Instruct-v0.3,0.9950259515570934,0.022058823529411763,51.584360139517855,False,True,True,True,True,True,True,True,False
mistralai/Mistral-7B-Instruct-v0.2,mistralai/Mixtral-8x7B-Instruct-v0.1,0.9950259515570934,0.044117647058823525,55.88689667688785,False,False,False,False,False,True,False,True,False
Qwen/Qwen2-1.5B-Instruct,gpt-3.5-turbo,0.995242214532872,0.014705882352941176,56.20028560071257,False,False,False,False,False,False,False,False,False
ibm-granite/granite-3.0-8b-instruct,openchat/openchat-3.6-8b-20240522,0.995674740484429,0.022058823529411766,66.0649516677489,False,False,False,False,False,False,False,False,False
HuggingFaceH4/zephyr-7b-beta,Qwen/Qwen2.5-0.5B-Instruct,0.9961072664359861,0.007352941176470588,57.52381194288188,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,gpt-4-turbo-2024-04-09,0.9961072664359861,0.014705882352941176,60.327371663166204,False,False,False,False,False,False,False,False,False
Qwen/Qwen2-72B-Instruct,gpt-4o-2024-05-13,0.9961072664359861,0.04411764705882353,57.32903336817456,False,False,False,False,False,False,False,False,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,upstage/SOLAR-10.7B-Instruct-v1.0,0.9963235294117647,0.058823529411764705,55.66022442004831,False,False,False,False,False,False,False,True,False
Qwen/Qwen2-1.5B-Instruct,Qwen/Qwen2-7B-Instruct,0.9963235294117647,0.03676470588235294,52.90910801386328,False,True,True,True,True,True,True,True,False
Qwen/Qwen2-7B-Instruct,Qwen/Qwen2.5-0.5B-Instruct,0.9963235294117647,0.04411764705882353,52.68868971161702,False,True,True,True,True,True,True,True,False
HuggingFaceH4/zephyr-7b-beta,microsoft/Phi-3-mini-128k-instruct,0.9965397923875432,0.014705882352941176,50.96575247688003,False,False,False,False,False,False,False,False,False
meta-llama/Llama-3.2-1B-Instruct,meta-llama/Meta-Llama-3.1-70B-Instruct,0.9967560553633218,0.029411764705882353,50.31420640557287,False,True,True,True,True,True,True,True,False
