model,org,lineage,variant,base,base_prov,arch,tok,params_b,active_b,proprietary
CohereForAI/aya-23-35B,cohere,aya-23,35b,,,cohere,cohere,35.0,,False
CohereForAI/aya-23-8B,cohere,aya-23,8b,,,cohere,cohere,8.0,,False
Deci/DeciLM-7B-instruct,deci,decilm,7b,,,decilm,llama2,7.0,,False
HuggingFaceH4/zephyr-7b-beta,huggingfaceh4,mistral-7b,zephyr-beta,mistralai/Mistral-7B-Instruct-v0.1,documented,mistral,mistral,7.0,,False
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,nousresearch,mixtral-8x7b,hermes2-dpo,mistralai/Mixtral-8x7B-Instruct-v0.1,documented,mixtral-moe,mistral,46.7,12.9,False
Qwen/Qwen2-1.5B-Instruct,qwen,qwen2,2-1.5b,,,qwen2,qwen,1.5,,False
Qwen/Qwen2-72B-Instruct,qwen,qwen2,2-72b,,,qwen2,qwen,72.0,,False
Qwen/Qwen2-7B-Instruct,qwen,qwen2,2-7b,,,qwen2,qwen,7.0,,False
Qwen/Qwen2.5-0.5B-Instruct,qwen,qwen2,2.5-0.5b,,,qwen2,qwen,0.5,,False
Qwen/Qwen2.5-3B-Instruct,qwen,qwen2,2.5-3b,,,qwen2,qwen,3.0,,False
abacusai/Smaug-Llama-3-70B-Instruct,abacusai,llama-3,smaug-70b,meta-llama/Meta-Llama-3-70B-Instruct,documented,llama,llama3,70.0,,False
claude-3-5-sonnet-20240620,anthropic,claude-3,3.5-sonnet,,,proprietary,claude,,,True
claude-3-haiku-20240307,anthropic,claude-3,haiku,,,proprietary,claude,,,True
claude-3-opus-20240229,anthropic,claude-3,opus,,,proprietary,claude,,,True
google/gemma-1.1-2b-it,google,gemma,1.1-2b,,,gemma,gemma,2.0,,False
google/gemma-1.1-7b-it,google,gemma,1.1-7b,,,gemma,gemma,7.0,,False
google/gemma-2-27b-it,google,gemma,2-27b,,,gemma2,gemma,27.0,,False
google/gemma-2-9b-it,google,gemma,2-9b,,,gemma2,gemma,9.0,,False
google/gemma-2b-it,google,gemma,1.0-2b,,,gemma,gemma,2.0,,False
google/gemma-7b-it,google,gemma,1.0-7b,,,gemma,gemma,7.0,,False
gpt-3.5-turbo,openai,gpt,3.5-turbo,,,proprietary,tiktoken,,,True
gpt-4-turbo-2024-04-09,openai,gpt,4-turbo,,,proprietary,tiktoken,,,True
gpt-4o-2024-05-13,openai,gpt,4o,,,proprietary,tiktoken,,,True
gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai,llama-3,grad-1048k,meta-llama/Meta-Llama-3-8B-Instruct,documented,llama,llama3,8.0,,False
ibm-granite/granite-3.0-8b-instruct,ibm,granite-3,3.0-8b,,,granite,granite,8.0,,False
ibm-granite/granite-3.1-8b-instruct,ibm,granite-3,3.1-8b,,,granite,granite,8.0,,False
internlm/internlm2_5-7b-chat,internlm,internlm2,2.5-7b,,,internlm2,internlm,7.0,,False
meta-llama/Llama-2-7b-chat-hf,meta,llama-2,7b-chat,,,llama,llama2,7.0,,False
meta-llama/Llama-3.2-1B-Instruct,meta,llama-3,3.2-1b,,,llama,llama3,1.0,,False
meta-llama/Llama-3.2-3B-Instruct,meta,llama-3,3.2-3b,,,llama,llama3,3.0,,False
meta-llama/Meta-Llama-3-70B-Instruct,meta,llama-3,3-70b,,,llama,llama3,70.0,,False
meta-llama/Meta-Llama-3-8B-Instruct,meta,llama-3,3-8b,,,llama,llama3,8.0,,False
meta-llama/Meta-Llama-3.1-70B-Instruct,meta,llama-3,3.1-70b,,,llama,llama3,70.0,,False
meta-llama/Meta-Llama-3.1-8B-Instruct,meta,llama-3,3.1-8b,,,llama,llama3,8.0,,False
microsoft/Phi-3-medium-128k-instruct,microsoft,phi-3,medium-128k,,,phi3,llama2,14.0,,False
microsoft/Phi-3-medium-4k-instruct,microsoft,phi-3,medium-4k,,,phi3,llama2,14.0,,False
microsoft/Phi-3-mini-128k-instruct,microsoft,phi-3,mini-128k,,,phi3,llama2,3.8,,False
microsoft/Phi-3-mini-4k-instruct,microsoft,phi-3,mini-4k,,,phi3,llama2,3.8,,False
microsoft/Phi-3.5-MoE-instruct,microsoft,phi-3,3.5-moe,,,phi3-moe,llama2,41.9,6.6,False
microsoft/Phi-3.5-mini-instruct,microsoft,phi-3,3.5-mini,,,phi3,llama2,3.8,,False
mistralai/Mistral-7B-Instruct-v0.1,mistralai,mistral-7b,v0.1,,,mistral,mistral,7.0,,False
